0.000000000000000000e+00,2.594642937183380127e-01,1.803267121315002441e+00
1.000000000000000000e+00,4.074999988079071045e-01,1.491676211357116699e+00
2.000000000000000000e+00,4.746428430080413818e-01,1.305860042572021484e+00
3.000000000000000000e+00,5.192857384681701660e-01,1.192299127578735352e+00
4.000000000000000000e+00,5.382142663002014160e-01,1.126083254814147949e+00
5.000000000000000000e+00,5.630357265472412109e-01,1.065388321876525879e+00
6.000000000000000000e+00,5.844643115997314453e-01,1.013174414634704590e+00
7.000000000000000000e+00,5.846428275108337402e-01,9.909349679946899414e-01
8.000000000000000000e+00,5.969642996788024902e-01,9.564896225929260254e-01
9.000000000000000000e+00,5.980356931686401367e-01,9.460445642471313477e-01
1.000000000000000000e+01,6.091071367263793945e-01,9.353878498077392578e-01
1.100000000000000000e+01,6.130357384681701660e-01,9.170935750007629395e-01
1.200000000000000000e+01,6.189285516738891602e-01,8.992128372192382812e-01
1.300000000000000000e+01,6.230357289314270020e-01,8.848755955696105957e-01
1.400000000000000000e+01,6.225000023841857910e-01,8.728234767913818359e-01
1.500000000000000000e+01,6.330357193946838379e-01,8.640138506889343262e-01
1.600000000000000000e+01,6.335714459419250488e-01,8.379186987876892090e-01
1.700000000000000000e+01,6.382142901420593262e-01,8.336415290832519531e-01
1.800000000000000000e+01,6.458928585052490234e-01,8.347350358963012695e-01
1.900000000000000000e+01,6.401785612106323242e-01,8.264548778533935547e-01
2.000000000000000000e+01,6.367856860160827637e-01,8.241283893585205078e-01
2.100000000000000000e+01,6.416071653366088867e-01,8.141496777534484863e-01
2.200000000000000000e+01,6.442857384681701660e-01,8.135839700698852539e-01
2.300000000000000000e+01,6.512500047683715820e-01,8.113261461257934570e-01
2.400000000000000000e+01,6.532142758369445801e-01,7.964431047439575195e-01
2.500000000000000000e+01,6.535714268684387207e-01,7.966364622116088867e-01
2.600000000000000000e+01,6.562500000000000000e-01,7.890602946281433105e-01
2.700000000000000000e+01,6.614285707473754883e-01,7.765976190567016602e-01
2.800000000000000000e+01,6.598214507102966309e-01,7.791000008583068848e-01
2.900000000000000000e+01,6.571428775787353516e-01,7.754355072975158691e-01
3.000000000000000000e+01,6.750000119209289551e-01,7.468225955963134766e-01
3.100000000000000000e+01,6.675000190734863281e-01,7.478668093681335449e-01
3.200000000000000000e+01,6.833928823471069336e-01,7.426385283470153809e-01
3.300000000000000000e+01,6.823214292526245117e-01,7.385713458061218262e-01
